DID,DSID,Physics_identifier,Tags,MC_campaign,Physics_process_short,Files,Size [GB],Events [k],Job_ID,Job_link,Status,ZdZd13TeV_commit,Athena_release,Submitted_by,Submitted_date,Finished_date,Output_dataset,Ntuple_files,Ntuple_size [GB],Ntuple_events,hard_l_pdgId,truth_llll_tlv_pt,llll_tlv_pt,Merged_file_path,Notes
mc23_13p6TeV:mc23_13p6TeV.601504.PhPy8EG_PDF4LHC21_ggZH125_Zincl_HZZ_4l_notau.deriv.DAOD_PHYS.e8558_s4162_r15540_p7266,601504,PhPy8EG_PDF4LHC21_ggZH125_Zincl_HZZ_4l_notau,e8558_s4162_r15540_p7266,mc23a,H_ZZ_4l,10,9.863,300,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.601634.PhPy8EG_PDF4LHC21_4FS_A14NNPDF_bbH_HZZ_4l_notau.deriv.DAOD_PHYS.e8558_s4162_r15540_p7266,601634,PhPy8EG_PDF4LHC21_4FS_A14NNPDF_bbH_HZZ_4l_notau,e8558_s4162_r15540_p7266,mc23a,H_ZZ_4l,11,10.224,390,51797820,https://bigpanda.cern.ch/task/51797820/,Submitted,5d13c7264ca3,"AthAnalysis,25.2.102",connell,2026-07-30,,bbH_ZZ4l_notau_mc23All_v1,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.601504.PhPy8EG_PDF4LHC21_ggZH125_Zincl_HZZ_4l_notau.deriv.DAOD_PHYS.e8558_s4159_r15530_p7266,601504,PhPy8EG_PDF4LHC21_ggZH125_Zincl_HZZ_4l_notau,e8558_s4159_r15530_p7266,mc23d,H_ZZ_4l,11,10.951,300,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.601502.PhPy8EG_PDF4LHC21_WmH125J_Wincl_MINLO_HZZ_4l_notau.deriv.DAOD_PHYS.e8558_s4159_r15530_p7266,601502,PhPy8EG_PDF4LHC21_WmH125J_Wincl_MINLO_HZZ_4l_notau,e8558_s4159_r15530_p7266,mc23d,H_ZZ_4l,14,25.299,800,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.601634.PhPy8EG_PDF4LHC21_4FS_A14NNPDF_bbH_HZZ_4l_notau.deriv.DAOD_PHYS.e8558_s4159_r15530_p7266,601634,PhPy8EG_PDF4LHC21_4FS_A14NNPDF_bbH_HZZ_4l_notau,e8558_s4159_r15530_p7266,mc23d,H_ZZ_4l,14,11.741,400,51797820,https://bigpanda.cern.ch/task/51797820/,Submitted,5d13c7264ca3,"AthAnalysis,25.2.102",connell,2026-07-30,,bbH_ZZ4l_notau_mc23All_v1,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.601503.PhPy8EG_PDF4LHC21_ZH125J_Zincl_MINLO_HZZ_4l_notau.deriv.DAOD_PHYS.e8558_s4159_r15530_p7266,601503,PhPy8EG_PDF4LHC21_ZH125J_Zincl_MINLO_HZZ_4l_notau,e8558_s4159_r15530_p7266,mc23d,H_ZZ_4l,16,24.667,770,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.601501.PhPy8EG_PDF4LHC21_WpH125J_Wincl_MINLO_HZZ_4l_notau.deriv.DAOD_PHYS.e8558_s4159_r15530_p7266,601501,PhPy8EG_PDF4LHC21_WpH125J_Wincl_MINLO_HZZ_4l_notau,e8558_s4159_r15530_p7266,mc23d,H_ZZ_4l,18,25.154,800,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.601634.PhPy8EG_PDF4LHC21_4FS_A14NNPDF_bbH_HZZ_4l_notau.deriv.DAOD_PHYS.e8558_s4369_r16083_p7266,601634,PhPy8EG_PDF4LHC21_4FS_A14NNPDF_bbH_HZZ_4l_notau,e8558_s4369_r16083_p7266,mc23e,H_ZZ_4l,18,29.725,990,51797820,https://bigpanda.cern.ch/task/51797820/,Submitted,5d13c7264ca3,"AthAnalysis,25.2.102",connell,2026-07-30,,bbH_ZZ4l_notau_mc23All_v1,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.601501.PhPy8EG_PDF4LHC21_WpH125J_Wincl_MINLO_HZZ_4l_notau.deriv.DAOD_PHYS.e8558_s4162_r15540_p7266,601501,PhPy8EG_PDF4LHC21_WpH125J_Wincl_MINLO_HZZ_4l_notau,e8558_s4162_r15540_p7266,mc23a,H_ZZ_4l,19,22.591,800,,,Not submitted,,,,,,,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.601503.PhPy8EG_PDF4LHC21_ZH125J_Zincl_MINLO_HZZ_4l_notau.deriv.DAOD_PHYS.e8558_s4162_r15540_p7266,601503,PhPy8EG_PDF4LHC21_ZH125J_Zincl_MINLO_HZZ_4l_notau,e8558_s4162_r15540_p7266,mc23a,H_ZZ_4l,19,23.052,800,,,Not submitted,,,,,,,,,,,,,,
