DID,DSID,Physics_identifier,Tags,MC_campaign,Physics_process_short,Files,Size [GB],Events [k],JediTask_ID,Job_link,Status,ZdZd13TeV_commit,Athena_release,Submitted_by,Submitted_date,Finished_date,Output_dataset,Ntuple_files,Ntuple_size [GB],Ntuple_events,hard_l_pdgId,truth_llll_tlv_pt,llll_tlv_pt,Merged_file_path,Notes
mc23_13p6TeV:mc23_13p6TeV.701241.Sh_22_ZZZ_4l2v_EW6.deriv.DAOD_PHYS.e8585_s4162_r15540_p7266,701241,Sh_22_ZZZ_4l2v_EW6,e8585_s4162_r15540_p7266,mc23a,Tribosons,4,2.657,100,51841891,https://bigpanda.cern.ch/task/51841891/,Merged,5d13c7264ca3,"AthAnalysis,25.2.102",connell,2026-08-02,2026-08-02,user.connell.20260802.mc23a_701241_v1,1,0.114,100000,600000,183568,35166,/eos/atlas/atlascerngroupdisk/phys-hmbs/hlrs/ZdZd/ZdZd13TeV_Ntuples/bkg_Ntuples/Tribosons/701241.Sh_22_ZZZ_4l2v_EW6.mc23a.p7266.v1.root,
mc23_13p6TeV:mc23_13p6TeV.701241.Sh_22_ZZZ_4l2v_EW6.deriv.DAOD_PHYS.e8585_s4159_r15530_p7266,701241,Sh_22_ZZZ_4l2v_EW6,e8585_s4159_r15530_p7266,mc23d,Tribosons,4,2.973,100,51841891,https://bigpanda.cern.ch/task/51841891/,Merged,5d13c7264ca3,"AthAnalysis,25.2.102",connell,2026-08-02,2026-08-02,user.connell.20260802.mc23d_701241_v1,1,0.113,100000,600000,183552,34603,/eos/atlas/atlascerngroupdisk/phys-hmbs/hlrs/ZdZd/ZdZd13TeV_Ntuples/bkg_Ntuples/Tribosons/701241.Sh_22_ZZZ_4l2v_EW6.mc23d.p7266.v1.root,
mc23_13p6TeV:mc23_13p6TeV.701236.Sh_22_WWZ_4l2v_EW6.deriv.DAOD_PHYS.e8585_s4162_r15540_p7266,701236,Sh_22_WWZ_4l2v_EW6,e8585_s4162_r15540_p7266,mc23a,Tribosons,4,2.858,100,51844734,https://bigpanda.cern.ch/task/51844734/,Merged,5d13c7264ca3,"AthAnalysis,25.2.102",connell,2026-08-02,2026-08-03,user.connell.20260802.mc23All_701236_v1,1,0.079,100000,200000,63119,15263,/eos/atlas/atlascerngroupdisk/phys-hmbs/hlrs/ZdZd/ZdZd13TeV_Ntuples/bkg_Ntuples/Tribosons/701236.Sh_22_WWZ_4l2v_EW6.mc23a.p7266.v1.root,
mc23_13p6TeV:mc23_13p6TeV.701238.Sh_22_WZZ_5l1v_EW6.deriv.DAOD_PHYS.e8585_s4162_r15540_p7266,701238,Sh_22_WZZ_5l1v_EW6,e8585_s4162_r15540_p7266,mc23a,Tribosons,4,3.061,100,51841453,https://bigpanda.cern.ch/task/51841453/,Submitted,5d13c7264ca3,"AthAnalysis,25.2.102",connell,2026-08-02,,user.connell.20260802.mc23a_701238_v1,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.701240.Sh_22_ZZZ_6l0v_EW6.deriv.DAOD_PHYS.e8585_s4162_r15540_p7266,701240,Sh_22_ZZZ_6l0v_EW6,e8585_s4162_r15540_p7266,mc23a,Tribosons,4,3.008,100,51850874,https://bigpanda.cern.ch/task/51850874/,Merged,5d13c7264ca3,"AthAnalysis,25.2.102",connell,2026-08-03,2026-08-03,user.connell.20260803.mc23All_701240_v1,1,0.195,100000,600000,619962,190946,/eos/atlas/atlascerngroupdisk/phys-hmbs/hlrs/ZdZd/ZdZd13TeV_Ntuples/bkg_Ntuples/Tribosons/701240.Sh_22_ZZZ_6l0v_EW6.mc23a.p7266.v1.root,
mc23_13p6TeV:mc23_13p6TeV.701236.Sh_22_WWZ_4l2v_EW6.deriv.DAOD_PHYS.e8585_s4159_r15530_p7266,701236,Sh_22_WWZ_4l2v_EW6,e8585_s4159_r15530_p7266,mc23d,Tribosons,5,3.198,100,51844734,https://bigpanda.cern.ch/task/51844734/,Merged,5d13c7264ca3,"AthAnalysis,25.2.102",connell,2026-08-02,2026-08-03,user.connell.20260802.mc23All_701236_v1,1,0.079,100000,200000,62159,15215,/eos/atlas/atlascerngroupdisk/phys-hmbs/hlrs/ZdZd/ZdZd13TeV_Ntuples/bkg_Ntuples/Tribosons/701236.Sh_22_ZZZ_4l2v_EW6.mc23d.p7266.v1.root,
mc23_13p6TeV:mc23_13p6TeV.701238.Sh_22_WZZ_5l1v_EW6.deriv.DAOD_PHYS.e8585_s4159_r15530_p7266,701238,Sh_22_WZZ_5l1v_EW6,e8585_s4159_r15530_p7266,mc23d,Tribosons,5,3.418,100,51851645,https://bigpanda.cern.ch/task/51851645/,Merged,5d13c7264ca3,"AthAnalysis,25.2.102",connell,2026-08-03,2026-08-03,user.connell.20260803.mc23d_701238_v1,1,0.13,100000,400000,261793,66001,/eos/atlas/atlascerngroupdisk/phys-hmbs/hlrs/ZdZd/ZdZd13TeV_Ntuples/bkg_Ntuples/Tribosons/701238.Sh_22_WZZ_5l1v_EW6.mc23d.p7266.v1.root,
mc23_13p6TeV:mc23_13p6TeV.701240.Sh_22_ZZZ_6l0v_EW6.deriv.DAOD_PHYS.e8585_s4159_r15530_p7266,701240,Sh_22_ZZZ_6l0v_EW6,e8585_s4159_r15530_p7266,mc23d,Tribosons,5,3.38,100,51850874,https://bigpanda.cern.ch/task/51850874/,Merged,5d13c7264ca3,"AthAnalysis,25.2.102",connell,2026-08-03,2026-08-03,user.connell.20260803.mc23All_701240_v1,1,0.195,100000,600000,619513,189726,/eos/atlas/atlascerngroupdisk/phys-hmbs/hlrs/ZdZd/ZdZd13TeV_Ntuples/bkg_Ntuples/Tribosons/701240.Sh_22_ZZZ_6l0v_EW6.mc23d.p7266.v1.root,
mc23_13p6TeV:mc23_13p6TeV.701236.Sh_22_WWZ_4l2v_EW6.deriv.DAOD_PHYS.e8585_s4369_r16083_p7266,701236,Sh_22_WWZ_4l2v_EW6,e8585_s4369_r16083_p7266,mc23e,Tribosons,12,12.965,400,51844734,https://bigpanda.cern.ch/task/51844734/,Merged,5d13c7264ca3,"AthAnalysis,25.2.102",connell,2026-08-02,2026-08-03,user.connell.20260802.mc23All_701236_v1,1,0.314,400000,800000,250456,60060,/eos/atlas/atlascerngroupdisk/phys-hmbs/hlrs/ZdZd/ZdZd13TeV_Ntuples/bkg_Ntuples/Tribosons/701236.Sh_22_ZZZ_4l2v_EW6.mc23e.p7266.v1.root,
mc23_13p6TeV:mc23_13p6TeV.701240.Sh_22_ZZZ_6l0v_EW6.deriv.DAOD_PHYS.e8585_s4369_r16083_p7266,701240,Sh_22_ZZZ_6l0v_EW6,e8585_s4369_r16083_p7266,mc23e,Tribosons,12,13.668,400,51850874,https://bigpanda.cern.ch/task/51850874/,Merged,5d13c7264ca3,"AthAnalysis,25.2.102",connell,2026-08-03,2026-08-03,user.connell.20260803.mc23All_701240_v1,1,0.777,400000,2400000,2476091,750152,/eos/atlas/atlascerngroupdisk/phys-hmbs/hlrs/ZdZd/ZdZd13TeV_Ntuples/bkg_Ntuples/Tribosons/701240.Sh_22_ZZZ_6l0v_EW6.mc23e.p7266.v1.root,
