DID,DSID,Physics_identifier,Tags,MC_campaign,Physics_process_short,Files,Size [GB],Events [k],JediTask_ID,Job_link,Status,ZdZd13TeV_commit,Athena_release,Submitted_by,Submitted_date,Finished_date,Output_dataset,Ntuple_files,Ntuple_size [GB],Ntuple_events,hard_l_pdgId,truth_llll_tlv_pt,llll_tlv_pt,Merged_file_path,Notes
mc23_13p6TeV:mc23_13p6TeV.603293.PhPy8EG_NNPDF30_gg4l_noHiggs_m4l_70_3000.deriv.DAOD_PHYS.e8601_s4159_r15530_p7266,603293,PhPy8EG_NNPDF30_gg4l_noHiggs_m4l_70_3000,e8601_s4159_r15530_p7266,mc23d,ZZ_4l,57,82.647,2940,51831489,https://bigpanda.cern.ch/task/51831489/,Merged,5d13c7264ca3,"AthAnalysis,25.2.102",connell,01/08/2026,02/08/2026,user.connell.20260801.mc23d_603293_v1,3,3.561,2940000,17716080,5711982,915994,/eos/atlas/atlascerngroupdisk/phys-hmbs/hlrs/ZdZd/ZdZd13TeV_Ntuples/bkg_Ntuples/ZZ_4l/603293.PhPy8EG_NNPDF30_gg4l_noHiggs_m4l_70_3000.mc23d.p7266.v1.root,
mc23_13p6TeV:mc23_13p6TeV.603293.PhPy8EG_NNPDF30_gg4l_noHiggs_m4l_70_3000.deriv.DAOD_PHYS.e8601_s4162_r15540_p7266,603293,PhPy8EG_NNPDF30_gg4l_noHiggs_m4l_70_3000,e8601_s4162_r15540_p7266,mc23a,ZZ_4l,58,73.471,2940,51829731,https://bigpanda.cern.ch/task/51829731/,Merged,5d13c7264ca3,"AthAnalysis,25.2.102",connell,01/08/2026,01/08/2026,user.connell.20260801.mc23a_603293_v1,3,3.566,2940000,17719077,5709486,933010,/eos/atlas/atlascerngroupdisk/phys-hmbs/hlrs/ZdZd/ZdZd13TeV_Ntuples/bkg_Ntuples/ZZ_4l/603293.PhPy8EG_NNPDF30_gg4l_noHiggs_m4l_70_3000.mc23d.p7266.v1.root,
mc23_13p6TeV:mc23_13p6TeV.701185.Sh_2214_llll_m4l100_300_filt100_170.deriv.DAOD_PHYS.e8543_s4162_r14622_p7266,701185,Sh_2214_llll_m4l100_300_filt100_170,e8543_s4162_r14622_p7266,mc23a,ZZ_4l,92,225.103,9870,51833675,https://bigpanda.cern.ch/task/51833675/,Merged,5d13c7264ca3,"AthAnalysis,25.2.102",connell,01/08/2026,02/08/2026,user.connell.20260801.mc23a_701185_v1,3,7.062,9870000,0,14452142,2777495,/eos/atlas/atlascerngroupdisk/phys-hmbs/hlrs/ZdZd/ZdZd13TeV_Ntuples/bkg_Ntuples/ZZ_4l/701185.Sh_2214_llll_m4l100_300_filt100_170.mc23a.p7266.v1.root,
mc23_13p6TeV:mc23_13p6TeV.701190.Sh_2214_llll_m4l300.deriv.DAOD_PHYS.e8543_s4162_r14622_p7266,701190,Sh_2214_llll_m4l300,e8543_s4162_r14622_p7266,mc23a,ZZ_4l,132,257.276,9960,51833960,https://bigpanda.cern.ch/task/51833960/,Submitted,5d13c7264ca3,"AthAnalysis,25.2.102",connell,01/08/2026,,user.connell.20260801.mc23a_701190_v1,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.701185.Sh_2214_llll_m4l100_300_filt100_170.deriv.DAOD_PHYS.e8543_s4159_r15224_p7266,701185,Sh_2214_llll_m4l100_300_filt100_170,e8543_s4159_r15224_p7266,mc23d,ZZ_4l,150,248.109,9650,51833768,https://bigpanda.cern.ch/task/51833768/,Merged,5d13c7264ca3,"AthAnalysis,25.2.102",connell,01/08/2026,02/08/2026,user.connell.20260801.mc23d_701185_v1,2,6.879,9650000,0,14131777,2650402,/eos/atlas/atlascerngroupdisk/phys-hmbs/hlrs/ZdZd/ZdZd13TeV_Ntuples/bkg_Ntuples/ZZ_4l/701185.Sh_2214_llll_m4l100_300_filt100_170.mc23d.p7266.v1.root,
mc23_13p6TeV:mc23_13p6TeV.603293.PhPy8EG_NNPDF30_gg4l_noHiggs_m4l_70_3000.deriv.DAOD_PHYS.e8601_s4369_r16083_p7266,603293,PhPy8EG_NNPDF30_gg4l_noHiggs_m4l_70_3000,e8601_s4369_r16083_p7266,mc23e,ZZ_4l,194,281.693,9760,51830388,https://bigpanda.cern.ch/task/51830388/,Downloaded,5d13c7264ca3,"AthAnalysis,25.2.102",connell,01/08/2026,02/08/2026,user.connell.20260801.mc23e_603293_v1,9,10.627,8780000,52905074,17040395,2730981,/eos/atlas/atlascerngroupdisk/phys-hmbs/hlrs/ZdZd/ZdZd13TeV_Ntuples/bkg_Ntuples/ZZ_4l/603293.PhPy8EG_NNPDF30_gg4l_noHiggs_m4l_70_3000.mc23e.p7266.v1.root,
mc23_13p6TeV:mc23_13p6TeV.701190.Sh_2214_llll_m4l300.deriv.DAOD_PHYS.e8543_s4369_r16083_p7266,701190,Sh_2214_llll_m4l300,e8543_s4369_r16083_p7266,mc23e,ZZ_4l,251,516.856,17480,51833964,https://bigpanda.cern.ch/task/51833964/,Merged,5d13c7264ca3,"AthAnalysis,25.2.102",connell,01/08/2026,02/08/2026,user.connell.20260801.mc23e_701190_v1,3,12.183,17480000,0,23978884,4007395,/eos/atlas/atlascerngroupdisk/phys-hmbs/hlrs/ZdZd/ZdZd13TeV_Ntuples/bkg_Ntuples/ZZ_4l/701190.Sh_2214_llll_m4l300.mc23e.p7266.v1.root,
mc23_13p6TeV:mc23_13p6TeV.701185.Sh_2214_llll_m4l100_300_filt100_170.deriv.DAOD_PHYS.e8543_s4369_r16083_p7266,701185,Sh_2214_llll_m4l100_300_filt100_170,e8543_s4369_r16083_p7266,mc23e,ZZ_4l,458,925.504,34910,51833693,https://bigpanda.cern.ch/task/51833693/,Submitted,5d13c7264ca3,"AthAnalysis,25.2.102",connell,01/08/2026,,user.connell.20260801.mc23e_701185_v1,,,,,,,,
mc23_13p6TeV:mc23_13p6TeV.701040.Sh_llll.deriv.DAOD_PHYS.e8582_s4159_r15530_p7266,701040,Sh_llll,e8582_s4159_r15530_p7266,mc23d,ZZ_4l,653,1367,49740,51777084,https://bigpanda.cern.ch/task/51777084/,Merged,5d13c7264ca3,"AthAnalysis,25.2.102",connell,30/07/2026,30/07/2026,user.connell.20260729.ppZZ_mc23d,5,28.862,49740000,0,44707056,5169769,/eos/atlas/atlascerngroupdisk/phys-hmbs/hlrs/ZdZd/ZdZd13TeV_Ntuples/bkg_Ntuples/ZZ_4l/701040.Sh_llll.mc23d.p7266.v1.root,
mc23_13p6TeV:mc23_13p6TeV.701040.Sh_llll.deriv.DAOD_PHYS.e8582_s4162_r15540_p7266,701040,Sh_llll,e8582_s4162_r15540_p7266,mc23a,ZZ_4l,1297,1228,49670,51720917,https://bigpanda.cern.ch/task/51720917/,Merged,5d13c7264ca3,"AthAnalysis,25.2.102",connell,20260726,01/08/2026,user.connell.20260726.ppZZ_mc23a_V1,6,28.812,49670000,0,44649821,5268323,/eos/atlas/atlascerngroupdisk/phys-hmbs/hlrs/ZdZd/ZdZd13TeV_Ntuples/bkg_Ntuples/ZZ_4l/701040.Sh_llll.mc23a.p7266.v1.root,
